genre,price,release_date,rating,publisher
Action,33.8,2018-01-03,2.7,Ubisoft
Simulation,37.48,2010-10-07,4.8,Indie Studio
Adventure,51.87,2024-01-26,4.5,Indie Studio
Sports,35.22,2014-06-07,5.6,Valve
RPG,34.86,2017-08-19,8.3,Valve
Action,59.44,2011-01-06,6.0,Sony
Adventure,45.4,2018-09-19,8.6,Sony
Adventure,26.54,2020-07-01,5.7,Microsoft
Strategy,42.44,2014-08-31,6.4,Nintendo
Simulation,23.35,2016-03-18,4.9,EA
RPG,13.73,2010-10-31,8.4,Nintendo
Action,35.81,2020-05-02,9.3,Microsoft
Strategy,55.69,2013-09-10,6.8,Ubisoft
Simulation,55.75,2024-06-25,8.4,Valve
Strategy,20.51,2016-08-19,1.5,Nintendo
Sports,31.66,2019-12-08,9.2,Indie Studio
Simulation,12.7,2016-08-25,2.7,Valve
Simulation,59.74,2018-04-22,3.3,Valve
RPG,58.87,2011-10-31,1.5,Nintendo
Simulation,38.97,2011-05-15,9.7,Nintendo
Strategy,48.26,2013-11-15,8.7,Indie Studio
Simulation,42.91,2011-06-14,9.2,Indie Studio
RPG,35.59,2019-12-01,8.6,Sony
RPG,3.2,2019-06-19,5.3,Microsoft
Sports,27.29,2024-07-21,9.3,Microsoft
Strategy,40.49,2012-01-25,9.7,Indie Studio
Adventure,40.65,2016-06-05,5.5,EA
Adventure,22.39,2023-06-12,2.6,Indie Studio
Simulation,56.5,2011-12-28,6.9,Sony
Sports,10.04,2023-03-20,9.8,EA
Action,30.02,2023-06-25,8.8,Nintendo
Simulation,41.45,2017-04-03,8.8,Microsoft
Sports,41.83,2024-11-10,9.4,Microsoft
Strategy,38.92,2015-08-09,9.0,EA
Strategy,16.52,2017-09-16,8.0,Ubisoft
Strategy,9.37,2012-05-24,7.5,Sony
Strategy,38.16,2018-12-24,3.4,Sony
Strategy,35.96,2018-03-04,6.6,Sony
Sports,10.76,2015-12-19,5.7,Microsoft
Sports,42.31,2020-06-04,8.8,Valve
RPG,27.31,2011-08-31,5.4,Microsoft
Adventure,40.07,2011-09-27,2.1,Valve
Strategy,50.24,2024-07-11,1.0,Microsoft
Action,10.18,2022-07-16,7.1,Nintendo
Sports,1.15,2017-06-20,5.9,Microsoft
Action,46.75,2012-12-10,4.0,Nintendo
Action,36.58,2015-03-30,2.5,Valve
Action,41.98,2011-08-12,5.2,Sony
RPG,50.29,2018-11-06,1.9,Valve
Sports,48.17,2016-04-23,4.0,EA
Action,57.66,2024-07-30,4.4,Sony
Strategy,32.16,2020-07-05,5.2,Microsoft
Simulation,29.31,2015-05-28,5.2,Microsoft
Action,24.11,2023-10-24,3.3,Microsoft
RPG,9.22,2015-08-18,8.7,Microsoft
Sports,34.36,2019-07-13,4.2,Microsoft
RPG,16.62,2015-09-11,3.1,Valve
Action,55.28,2018-05-11,2.6,Indie Studio
Sports,34.99,2022-04-10,3.9,Nintendo
Simulation,35.57,2013-06-05,1.6,Indie Studio
Action,21.3,2020-05-23,1.3,Valve
RPG,3.12,2020-06-19,6.4,Ubisoft
Adventure,1.9,2021-10-12,6.6,Indie Studio
Strategy,25.4,2019-04-13,5.8,Valve
RPG,5.07,2014-11-16,7.9,Sony
Sports,36.41,2017-02-17,1.4,Microsoft
Action,52.86,2020-02-06,9.4,Valve
Strategy,52.97,2023-05-21,1.9,Indie Studio
Action,39.54,2014-09-21,7.1,Nintendo
Sports,12.67,2023-12-20,2.2,Indie Studio
Action,51.78,2017-08-16,8.9,Microsoft
Adventure,53.17,2023-10-17,5.6,Indie Studio
Strategy,11.8,2024-05-28,1.7,EA
Strategy,44.25,2020-03-08,6.6,Ubisoft
Sports,17.19,2014-08-05,1.1,Sony
Adventure,48.16,2011-03-25,8.0,Nintendo
RPG,59.83,2022-11-01,6.9,Ubisoft
Action,1.8,2010-03-23,2.9,Valve
Simulation,53.84,2013-11-07,4.4,Ubisoft
Action,37.36,2014-01-20,1.1,Microsoft
Action,58.4,2012-12-15,7.2,Microsoft
RPG,27.9,2019-11-08,3.9,EA
Action,50.84,2022-05-12,6.1,Ubisoft
Adventure,3.74,2021-06-15,9.6,Indie Studio
Adventure,20.12,2020-01-29,3.7,Ubisoft
Strategy,4.02,2017-05-27,9.9,Microsoft
Sports,58.52,2021-10-20,6.7,Valve
Simulation,49.02,2020-04-14,3.2,Valve
Action,51.15,2014-10-25,4.9,Sony
Action,56.28,2017-02-12,7.7,Indie Studio
RPG,5.11,2016-12-25,5.0,Indie Studio
Sports,23.14,2020-07-20,1.6,Valve
Adventure,4.26,2017-07-09,2.5,Ubisoft
Simulation,12.65,2016-04-11,8.1,EA
Strategy,13.76,2014-02-10,6.8,Valve
Adventure,28.15,2022-01-22,6.1,Indie Studio
Sports,16.11,2010-08-19,2.5,Indie Studio
Strategy,6.06,2021-08-21,8.5,Microsoft
RPG,10.05,2013-04-13,9.6,Microsoft
RPG,8.84,2010-04-25,1.4,Sony
Action,58.38,2013-11-14,1.7,Sony
Sports,45.56,2022-01-24,9.0,Ubisoft
Simulation,58.07,2012-09-19,8.3,Valve
Strategy,26.38,2016-06-05,6.6,Valve
Adventure,16.7,2012-11-07,9.5,Sony
Sports,47.9,2010-01-12,6.8,Valve
Sports,19.58,2020-01-25,2.9,Ubisoft
RPG,17.96,2023-03-19,7.6,EA
Action,13.95,2024-10-11,6.8,Microsoft
Action,7.78,2024-12-25,9.9,Ubisoft
Strategy,15.39,2018-05-24,2.9,Valve
RPG,21.32,2015-07-30,6.4,Ubisoft
Sports,40.44,2018-05-05,8.0,Microsoft
Simulation,3.75,2016-06-08,4.1,Nintendo
RPG,12.63,2011-06-25,4.4,Indie Studio
Strategy,48.54,2017-10-31,9.0,Microsoft
Strategy,8.82,2010-03-18,4.6,Indie Studio
RPG,20.56,2018-05-26,6.6,Microsoft
Strategy,51.88,2010-01-24,9.0,Nintendo
RPG,9.3,2024-01-22,2.9,Valve
Adventure,4.96,2011-11-07,9.8,Valve
RPG,29.07,2016-07-22,7.3,EA
RPG,18.15,2021-09-07,5.5,Microsoft
Strategy,33.8,2019-04-22,4.9,Ubisoft
Strategy,48.23,2017-07-22,9.6,EA
Action,8.23,2011-05-04,2.9,Valve
Action,34.84,2014-01-25,3.8,Valve
Adventure,30.33,2020-01-08,3.8,Sony
Action,8.64,2018-11-10,3.6,EA
RPG,37.44,2016-08-16,5.2,Valve
Strategy,16.42,2019-07-28,9.9,Nintendo
Action,29.27,2012-01-27,9.0,Indie Studio
Action,4.94,2016-11-29,4.0,Sony
Adventure,27.58,2021-08-21,4.8,Ubisoft
Sports,18.39,2010-09-14,7.0,Indie Studio
Adventure,49.34,2014-11-15,1.2,Sony
RPG,3.42,2023-01-22,8.4,Microsoft
Strategy,25.12,2015-10-17,8.9,Microsoft
Adventure,27.51,2019-03-03,8.7,Ubisoft
Action,43.5,2023-01-21,4.4,Nintendo
Strategy,34.46,2014-01-12,5.2,Ubisoft
Strategy,40.03,2010-09-16,1.1,EA
Action,46.62,2021-02-27,4.6,Indie Studio
Adventure,51.73,2010-11-03,5.1,Ubisoft
Action,18.83,2013-01-23,9.2,Ubisoft
Sports,32.28,2018-04-06,9.0,Sony
Strategy,50.41,2021-11-20,9.7,Nintendo
Simulation,59.37,2017-08-12,9.0,Ubisoft
Simulation,53.37,2014-07-17,1.1,EA
RPG,22.29,2010-07-06,6.8,Sony
Action,11.71,2014-12-03,1.6,Nintendo
Action,29.36,2012-07-13,3.5,Nintendo
RPG,44.5,2012-02-24,6.2,Valve
RPG,29.55,2019-06-07,7.3,Microsoft
RPG,28.99,2018-10-02,6.9,Indie Studio
Strategy,50.29,2013-09-22,1.4,EA
Sports,21.68,2010-12-07,1.9,Microsoft
Action,51.59,2011-07-17,2.2,Sony
Strategy,24.41,2022-12-30,1.8,Sony
RPG,19.69,2018-03-19,2.6,EA
Action,27.24,2013-04-08,7.2,Nintendo
Strategy,45.75,2018-07-08,8.5,Ubisoft
Sports,7.56,2010-03-10,4.7,EA
Strategy,11.79,2016-08-25,7.2,Sony
Sports,57.09,2024-10-10,2.8,Microsoft
RPG,10.53,2024-04-15,9.8,Indie Studio
Sports,34.06,2023-09-21,4.1,EA
Action,34.76,2019-11-08,8.6,Nintendo
RPG,29.38,2016-06-30,9.5,Indie Studio
Action,38.68,2022-06-23,8.8,Indie Studio
Simulation,13.79,2012-04-23,1.6,Indie Studio
Adventure,33.16,2011-07-28,6.9,Valve
Sports,22.33,2021-07-16,2.1,Indie Studio
Adventure,39.7,2017-02-09,1.1,Valve
Adventure,8.47,2022-12-25,1.5,Ubisoft
Sports,34.25,2014-01-18,9.2,Ubisoft
RPG,11.12,2015-09-05,9.2,Indie Studio
Simulation,16.72,2014-02-22,3.0,Nintendo
Action,13.12,2024-01-15,5.9,Microsoft
Strategy,10.97,2012-08-26,9.6,Ubisoft
Action,49.54,2016-01-06,5.5,Valve
Strategy,17.14,2014-02-20,4.5,Nintendo
Action,55.63,2024-02-01,5.3,Indie Studio
Sports,58.2,2011-10-17,8.1,Nintendo
Simulation,34.28,2018-03-12,5.3,Nintendo
Strategy,8.58,2022-09-25,8.0,EA
RPG,22.47,2022-05-18,4.9,Microsoft
Action,47.86,2010-10-20,3.3,Indie Studio
Action,22.04,2024-07-10,3.9,Microsoft
Strategy,5.22,2017-02-14,1.7,Ubisoft
RPG,33.41,2022-05-24,5.5,Microsoft
RPG,50.71,2022-01-30,2.3,Sony
Sports,47.76,2022-04-21,8.3,Valve
Sports,10.51,2024-11-26,4.8,Ubisoft
Sports,40.37,2014-05-08,7.9,Indie Studio
Sports,13.23,2011-08-19,9.6,Microsoft
Sports,13.09,2017-02-06,8.6,Valve
Sports,52.44,2015-10-25,9.6,Indie Studio
Simulation,14.98,2015-04-28,6.1,Indie Studio
RPG,15.79,2012-07-04,2.5,Ubisoft
Sports,0.04,2020-08-05,9.4,Sony
RPG,52.24,2017-08-26,8.8,Valve
RPG,47.56,2024-08-26,8.8,Sony
Adventure,37.64,2018-06-06,7.2,Valve
Simulation,45.02,2012-09-02,6.6,EA
Sports,9.12,2012-12-11,1.1,Indie Studio
Action,27.5,2018-03-09,7.7,EA
Strategy,21.07,2019-06-30,1.8,Valve
Action,5.63,2024-08-15,3.3,Valve
Simulation,29.17,2013-12-22,6.0,Sony
Strategy,55.24,2020-06-20,5.1,Indie Studio
Simulation,2.4,2024-05-29,1.1,Microsoft
RPG,17.49,2020-10-07,8.4,Indie Studio
Strategy,12.45,2015-07-22,8.9,Nintendo
RPG,14.29,2010-12-29,7.1,Valve
Action,54.51,2016-08-26,5.9,Ubisoft
Action,28.08,2019-12-12,9.6,Ubisoft
Strategy,27.98,2016-05-07,2.1,Ubisoft
Strategy,45.63,2018-06-13,7.6,EA
Sports,9.27,2016-06-03,2.2,Microsoft
Simulation,29.24,2019-11-08,4.4,Sony
Sports,25.8,2021-11-08,6.3,Microsoft
Simulation,35.81,2014-09-28,7.6,EA
Sports,59.97,2010-01-27,1.0,Microsoft
RPG,46.17,2010-04-03,3.3,Microsoft
Strategy,23.87,2017-04-18,5.8,Indie Studio
Action,49.65,2010-11-05,5.8,Ubisoft
Simulation,10.24,2010-02-21,6.7,Valve
Simulation,1.83,2010-11-15,3.7,Ubisoft
Action,12.27,2015-06-16,5.9,Microsoft
Sports,20.42,2021-09-16,2.7,Valve
Simulation,30.63,2020-08-27,2.7,Indie Studio
RPG,36.91,2022-12-26,6.2,Sony
Strategy,54.64,2020-10-31,7.2,Nintendo
Action,30.59,2024-09-23,2.1,Valve
Strategy,30.08,2017-05-16,2.1,EA
Simulation,3.01,2018-04-07,6.1,Ubisoft
Simulation,2.09,2015-07-18,3.4,Indie Studio
Action,33.07,2022-02-18,4.5,Indie Studio
RPG,26.29,2014-03-06,4.6,Ubisoft
Adventure,50.35,2023-12-04,2.6,Microsoft
Action,9.64,2013-07-02,1.0,Microsoft
Adventure,1.5,2011-05-29,8.7,Microsoft
Sports,26.94,2021-11-16,7.4,Indie Studio
Adventure,14.25,2014-09-30,7.2,Microsoft
RPG,2.98,2019-03-25,5.9,Ubisoft
Sports,43.48,2020-09-26,7.3,Valve
Adventure,6.7,2016-11-05,9.4,Sony
Sports,36.5,2019-06-27,7.0,Valve
Adventure,16.86,2016-03-09,3.4,EA
RPG,10.41,2023-01-16,6.1,Ubisoft
Adventure,22.79,2022-11-03,5.0,Valve
Adventure,48.09,2017-04-13,6.0,Ubisoft
Adventure,23.53,2010-09-13,5.7,Indie Studio
Action,45.05,2014-02-11,8.7,EA
Action,7.53,2022-10-01,6.9,Indie Studio
Action,46.37,2015-10-12,2.7,Nintendo
RPG,14.22,2024-11-13,1.6,Nintendo
Sports,40.64,2011-02-11,4.8,Nintendo
Simulation,33.95,2017-10-20,1.1,Ubisoft
Adventure,55.75,2018-09-12,3.9,Valve
Adventure,23.24,2015-02-04,4.3,Ubisoft
RPG,3.97,2021-12-03,4.4,Indie Studio
Adventure,1.15,2011-12-24,9.8,Sony
Action,49.61,2013-07-06,3.7,Indie Studio
Simulation,31.48,2011-09-06,3.4,Valve
Strategy,46.51,2019-02-14,2.2,Indie Studio
Adventure,14.07,2018-07-14,5.6,Indie Studio
Action,20.71,2015-06-02,2.4,EA
Strategy,1.81,2012-03-23,6.5,Microsoft
Simulation,57.69,2014-11-22,2.4,Nintendo
Strategy,40.07,2010-11-27,6.2,Valve
Action,55.99,2016-01-22,8.4,Valve
Sports,15.93,2013-05-01,1.4,Nintendo
Sports,36.69,2022-04-10,4.8,Indie Studio
Strategy,40.71,2019-02-20,5.1,EA
RPG,19.05,2016-07-03,8.1,Ubisoft
Strategy,50.89,2013-05-25,5.2,Ubisoft
Adventure,56.83,2010-11-16,6.1,Indie Studio
Adventure,53.09,2022-04-22,8.1,Indie Studio
Sports,44.34,2015-03-30,6.0,Microsoft
RPG,16.65,2021-07-02,4.2,Valve
Action,16.9,2023-02-13,1.8,Nintendo
Adventure,57.8,2010-11-26,7.6,Indie Studio
Sports,0.62,2011-10-22,8.8,Indie Studio
Simulation,42.96,2020-02-06,9.7,Sony
Sports,42.37,2018-07-16,9.3,EA
Adventure,37.36,2023-06-18,8.2,Ubisoft
Adventure,59.41,2015-05-27,6.8,EA
Sports,18.71,2014-11-29,8.0,EA
Action,20.4,2018-10-24,4.9,Microsoft
Strategy,4.74,2022-06-24,6.4,EA
Adventure,26.57,2016-12-08,4.1,Nintendo
Sports,15.66,2016-09-23,3.9,Microsoft
Sports,20.6,2018-06-28,7.8,Indie Studio
RPG,50.07,2021-12-15,5.1,Nintendo
Strategy,56.13,2017-06-26,2.9,Microsoft
Simulation,11.14,2022-04-08,2.8,Nintendo
Action,22.35,2021-05-18,8.7,Microsoft
Simulation,55.72,2024-04-23,7.1,Microsoft
Strategy,3.71,2010-08-08,5.9,Valve
Strategy,5.54,2017-09-19,4.6,Nintendo
Strategy,9.77,2015-03-22,4.9,Valve
Simulation,35.71,2017-02-24,1.5,Indie Studio
Strategy,9.03,2017-02-06,5.1,Microsoft
Sports,58.08,2010-04-06,8.2,Ubisoft
Simulation,26.8,2012-09-15,4.5,Microsoft
Strategy,30.09,2013-01-17,4.5,Ubisoft
Sports,14.8,2016-03-28,1.1,Ubisoft
RPG,28.26,2023-11-12,5.1,Ubisoft
Strategy,39.71,2010-09-03,1.2,Ubisoft
Simulation,45.07,2015-11-29,6.1,Nintendo
Adventure,45.23,2021-11-08,5.6,Sony
Strategy,34.67,2019-03-04,8.6,Nintendo
Adventure,54.26,2017-06-18,6.2,Indie Studio
Sports,49.04,2024-05-14,3.9,Sony
RPG,45.42,2024-08-31,5.6,Nintendo
Action,3.34,2021-03-01,7.3,Indie Studio
RPG,0.41,2023-05-31,1.8,Ubisoft
Strategy,12.75,2017-04-20,6.6,EA
Adventure,39.81,2018-10-05,9.2,Microsoft
Adventure,24.67,2017-07-17,3.7,Sony
Simulation,24.14,2013-11-18,6.6,EA
Adventure,53.08,2011-10-17,8.4,Ubisoft
Simulation,53.73,2016-09-08,5.6,Sony
Sports,54.55,2010-04-21,7.5,EA
Action,18.83,2010-03-31,3.8,Nintendo
Strategy,41.46,2012-02-02,3.8,Indie Studio
Simulation,16.3,2024-10-13,7.0,Ubisoft
Action,11.44,2024-12-05,7.3,Nintendo
Adventure,11.08,2018-09-08,9.4,Nintendo
Adventure,20.53,2015-12-20,3.0,Ubisoft
Action,25.8,2024-01-20,5.2,Sony
Adventure,49.86,2016-11-09,3.3,Microsoft
Sports,7.19,2014-01-04,1.7,Valve
Sports,44.1,2010-04-08,4.6,Valve
Action,31.89,2024-05-06,4.4,Microsoft
Simulation,17.28,2010-10-20,3.4,Ubisoft
Simulation,29.57,2015-01-14,3.7,Valve
Action,18.0,2014-10-01,4.2,Microsoft
Simulation,35.76,2024-01-08,9.9,EA
Simulation,26.03,2017-03-04,8.0,Microsoft
Sports,9.86,2022-12-31,1.6,Sony
Simulation,6.99,2016-01-06,8.9,Indie Studio
RPG,32.8,2019-06-29,6.7,Microsoft
Strategy,54.14,2015-03-22,9.0,Nintendo
Adventure,20.64,2014-09-18,4.1,Nintendo
RPG,43.98,2020-02-09,5.2,Indie Studio
Simulation,39.52,2024-02-20,9.1,Ubisoft
Sports,55.89,2014-12-22,3.5,Nintendo
Action,49.26,2010-09-10,9.2,EA
Simulation,34.0,2021-07-29,8.5,Microsoft
Sports,39.42,2019-08-21,9.8,Indie Studio
Strategy,53.9,2015-03-23,3.9,EA
Simulation,23.97,2015-03-26,3.1,Ubisoft
Action,19.61,2016-11-26,4.0,Nintendo
Sports,0.65,2020-07-16,9.6,Indie Studio
Sports,49.59,2024-04-25,4.0,Valve
Sports,48.06,2012-11-24,6.1,Microsoft
Strategy,6.27,2019-09-09,4.6,Valve
Simulation,34.61,2016-05-11,4.6,Sony
Strategy,27.84,2010-07-06,2.7,Ubisoft
Adventure,7.12,2012-08-06,5.8,Sony
Adventure,58.83,2016-04-09,8.6,Valve
Simulation,12.88,2021-12-08,1.4,Valve
Strategy,4.03,2022-08-23,9.0,Valve
Action,35.69,2023-05-11,7.0,Sony
Sports,44.33,2022-09-05,6.6,Indie Studio
Sports,1.95,2010-07-29,6.6,Ubisoft
Simulation,39.52,2015-09-25,3.7,Microsoft
Adventure,31.94,2019-09-09,4.7,Indie Studio
Adventure,6.2,2014-04-13,8.2,Microsoft
Sports,10.35,2010-01-26,3.8,EA
Simulation,34.08,2010-06-24,5.2,EA
Strategy,17.78,2013-08-27,1.2,Valve
Adventure,56.3,2010-11-18,7.6,Ubisoft
Strategy,49.12,2024-05-21,4.8,Ubisoft
Adventure,59.01,2021-05-13,5.7,Nintendo
Adventure,15.58,2021-01-30,2.0,Nintendo
RPG,58.18,2018-11-02,9.9,Indie Studio
Adventure,25.87,2015-02-16,3.7,Sony
Action,20.85,2015-08-30,6.7,Nintendo
Simulation,3.02,2010-11-29,6.2,Indie Studio
Simulation,3.17,2023-09-12,8.1,Microsoft
Strategy,41.52,2018-03-11,3.6,Microsoft
Adventure,27.48,2012-06-29,7.8,Indie Studio
Action,13.59,2022-04-24,4.4,Sony
Strategy,36.84,2012-08-07,4.7,EA
RPG,15.17,2024-11-08,7.1,Valve
Strategy,34.66,2015-09-07,8.1,Ubisoft
Strategy,21.55,2016-11-19,7.0,EA
Adventure,49.41,2019-02-14,9.1,Indie Studio
RPG,49.24,2018-04-18,3.6,Microsoft
Strategy,28.64,2010-04-11,9.1,EA
Action,21.05,2022-09-21,2.2,Sony
Action,21.75,2016-07-28,6.9,Valve
Simulation,48.34,2019-03-26,5.9,Microsoft
RPG,19.69,2016-06-01,5.5,Sony
RPG,12.54,2010-12-19,3.8,Indie Studio
Simulation,5.08,2018-02-03,5.5,EA
Strategy,28.0,2012-10-15,2.5,Ubisoft
RPG,28.93,2013-03-25,4.3,Nintendo
Action,50.45,2024-03-21,1.9,Sony
Action,13.27,2019-09-07,6.1,Microsoft
Adventure,22.86,2019-12-30,1.9,EA
RPG,48.5,2016-11-07,2.4,Nintendo
Strategy,49.42,2020-06-16,1.8,Nintendo
Simulation,23.08,2012-09-06,4.4,EA
Simulation,27.55,2024-12-04,8.6,Valve
Strategy,18.2,2023-03-28,9.2,EA
Sports,55.95,2012-09-03,1.6,Microsoft
Adventure,7.12,2013-10-03,6.7,Indie Studio
Simulation,56.02,2016-03-30,7.2,Ubisoft
RPG,41.03,2023-10-28,5.8,Microsoft
Adventure,31.89,2022-07-13,7.0,Indie Studio
RPG,1.96,2024-08-08,3.1,Nintendo
Action,28.54,2010-04-18,5.4,Ubisoft
Adventure,24.46,2012-08-30,4.5,Sony
Simulation,9.67,2014-06-15,1.8,Nintendo
Adventure,39.38,2011-12-05,6.6,Valve
Adventure,58.27,2012-05-24,5.5,EA
Adventure,33.73,2020-06-06,3.5,Sony
Sports,42.89,2016-08-08,5.3,Microsoft
Adventure,4.11,2015-10-09,8.0,Ubisoft
RPG,25.06,2019-09-24,8.2,Sony
Action,6.98,2013-06-27,6.8,Valve
Strategy,36.77,2011-07-14,5.2,EA
Adventure,56.31,2010-04-27,6.2,Sony
Simulation,39.71,2023-08-10,4.5,Microsoft
Adventure,4.61,2023-11-12,2.1,Ubisoft
Simulation,21.28,2018-05-05,4.5,Sony
RPG,33.04,2010-02-13,5.8,EA
